group,global,lat < -75,Lat > -75
ablate-gscond-classifier-v1-online,0.16758260101716488,0.15736138175193964,0.16775509659362722
precpd-diff-only-rnn-combined-v1-online,0.13760831627541845,0.1753836342519491,0.13697073642344212
precpd-diff-only-rnn-combined-cloudlimit-v5-online,0.11098407189393959,0.20246096729365512,0.1094401274627011
precpd-diff-only-rnn-combined-cloudlimit-v5-offline,0.10249672522819103,0.03641520635386466,0.10361202908133568
gscond-only-classifier-nomasking-online-10d-v1-online,0.12838733663973273,0.34641428867268836,0.12470749747920143
gscond-only-classifier-nomasking-online-10d-v1-offline,0.10546587967409814,0.03464892015957651,0.10666110729402961
gscond-only-classifier-zcloud-online-10d-v2-offline,0.10546587967409814,0.03464892015957651,0.10666110729402961
gscond-only-classifier-zcloud-online-10d-v2-online,0.12462628741368227,0.35894082621407125,0.12067154916379798
precpd-diff-only-dense-v1-precpd-only-v1-online,0.12704671616106977,0.11510510286576194,0.1272482523165018
precpd-diff-only-dense-v1-precpd-only-v1-offline,0.10342440175392127,0.02833465205180358,0.10469174509274119
precpd-diff-only-rnn-v1-shared-weights-v1-30d-online,0.10472958369589278,0.0739860758290437,0.10524845764252104
precpd-diff-only-rnn-v1-shared-weights-v1-30d-offline,0.10249672522819103,0.03641520635386466,0.10361202908133568
