,column_skill/air_temperature,column_skill/cloud_water,column_skill/specific_humidity,column_skill/surface_precipitation,column_skill/gscond/air_temperature,column_skill/gscond/cloud_water,column_skill/gscond/specific_humidity,column_skill/precpd/air_temperature,column_skill/precpd/cloud_water,column_skill/precpd/specific_humidity,tropical_average_temp_near_tropopause_5d_k,antarctic_avg_column_integrated_cloud_5d_kg,drifts/air_temperature/10day,drifts/cloud_water_mixing_ratio/10day,drifts/specific_humidity/10day,duration_seconds
zc-emu-not-dense-v3-offline,0.9907850623130798,0.987432897090912,0.9952197670936584,0.9983922243118286,0.9906574487686156,0.9953226447105408,0.9953226447105408,0.9903810024261476,0.9859766960144044,0.989331841468811,206.13970510444204,0.07868726507423512,,,,2591100
zc-emu-gsc-prior-precpd-simple-v3-offline,0.9888632297515868,0.96960186958313,0.991588056087494,0.9944512844085692,0.9906574487686156,0.9953226447105408,0.9953226447105408,0.9520293474197388,0.9458921551704408,0.8950210213661194,206.13970510444204,0.07868726507423512,,,,2591100
zc-emu-using-dense-v3-offline,0.9727070331573486,0.9539865851402284,0.9761568903923036,0.9944462776184082,0.9733818173408508,0.9787865281105042,0.9787865281105042,0.9520293474197388,0.9456180334091188,0.8950210213661194,206.13970510444204,0.07868726507423512,,,,2591100
zc-emu-not-dense-v3-online,0.9807966351509094,0.9480219483375548,0.9833085536956788,0.9749448895454408,0.9808776378631592,0.983364462852478,0.983364462852478,0.9734947681427002,0.9138696789741516,0.9733354449272156,206.1427316506595,0.08778989008135213,-0.011968885264775507,-1.1039808127592432e-08,1.0747150012751974e-06,2591100
zc-emu-gsc-prior-precpd-simple-v3-online,0.7430458068847656,0.008202016353607178,0.7607781291007996,0.011731088161468506,0.8046600818634033,0.7978084087371826,0.7978084087371826,0.23645836114883423,0.01255267858505249,0.23818159103393555,214.23702145395373,0.1401576883533,0.18743701610679295,2.690125468181505e-07,1.1275702413905684e-05,2591100
zc-emu-using-dense-v3-online,-0.3930634260177612,-0.07100081443786621,-0.4585462808609009,0.17273074388504028,-0.4082956314086914,-0.478571891784668,-0.478571891784668,-0.8431545495986938,-0.03355741500854492,-0.2306675910949707,213.31068493624352,0.1255604655728647,0.14657725503323035,4.64868176999959e-07,6.573571314501996e-06,2591100
zc-emu-seed1-prognostic-30d-v2-online,0.9764294028282166,0.9253111481666564,0.9795273542404176,0.9307063817977904,0.9790070652961732,0.980968713760376,0.980968713760376,0.9289615154266356,0.8620789051055908,0.9513505697250366,206.2114222093325,0.0975283815692603,-0.008931207229326787,1.2764576671473874e-08,1.065310482053052e-06,2591100
zc-emu-seed2-prognostic-30d-v2-online,0.9773061871528624,0.9362970590591432,0.9801582098007202,0.9469579458236694,0.9783174395561218,0.9809057116508484,0.9809057116508484,0.9570584297180176,0.8843892216682434,0.9625067710876464,206.27798349508063,0.08944685496330818,-0.0063696311716284985,-3.4236839823853496e-08,8.129148346929741e-07,2591100
zc-emu-seed3-prognostic-30d-v2-online,0.9783647656440736,0.9465673565864564,0.980530858039856,0.9807133674621582,0.9793724417686462,0.9812226295471193,0.9812226295471193,0.9576146602630616,0.925186574459076,0.958341658115387,206.01546920060284,0.09086263279054456,-0.013024791733130314,-3.3544548360582774e-09,4.838874866382094e-07,2591100
zc-emu-seed4-prognostic-30d-v2-online,0.9704751968383788,0.9017296433448792,0.9711486101150512,0.9108606576919556,0.9703809022903442,0.97072434425354,0.97072434425354,0.9641075730323792,0.81550133228302,0.969963014125824,206.3180722326714,0.0926888070260567,-0.0056635466856675976,5.875935073099822e-09,5.301398199209808e-07,2591100
