run_type,metric_name,air_temperature,cloud_water,specific_humidity,surface_precipitation
diagnostic,bias,-0.0315357286971589,-0.0031542571209488422,0.005594809364028055,-0.02230955846607685
offline,bias,-0.02534220381276254,-0.0010020540719146308,0.002972649257265536,-0.019663922488689423
offline,rmse,0.41893510209448537,0.1437402748585288,0.10833069264510592,0.21191762387752533
online,bias,-0.015030707523727219,-0.0006802406186609549,-0.0010709273971672233,0.017589254304766655
online,rmse,0.5812043670971119,0.3306361052838693,0.20000729944738882,0.7739974856376648
